  PER  STP          DAYS    FID         OFE              TFDR-INI            NR-SWD-INI             R-SWD-INI              QREQ-INI              TFDR-FIN            NR-SWD-FIN             R-SWD-FIN              QREQ-FIN                 Q-FIN  DEF-FLAG
    3    1         76.05      8   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    3    2         91.26      1   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    3    2         91.26      2   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    3    2         91.26      3   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    3    2         91.26      4   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    3    2         91.26      5   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    3    2         91.26      6   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    3    2         91.26      7   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    3    2         91.26      8   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    4    1        106.47      1      0.5507             8907.3824             1972.3866             6934.9959                0.0000             8907.3824             1972.3866             6934.9959                0.0000                0.0000         0
    4    1        106.47      2      0.5250             2020.0011             1972.3866               47.6146                0.0000             2020.0011             1972.3866               47.6146                0.0000                0.0000         0
    4    1        106.47      3      0.6335             7332.8464             2629.8488             4702.9977                0.0000             7332.8464             2629.8488             4702.9977                0.0000                0.0000         0
    4    1        106.47      4      0.6000             3965.2532             1314.9244             2650.3289                0.0000             3965.2532             1314.9244             2650.3289                0.0000                0.0000         0
    4    1        106.47      5      0.4689             6926.6997             1314.9244                0.0000             5611.7754             6926.6997             1314.9244                0.0000             5611.7754             5611.7754         0
    4    1        106.47      6      0.5625             4769.9535             2629.8488             2140.1047                0.0000             4769.9535             2629.8488             2140.1047                0.0000                0.0000         0
    4    1        106.47      7   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    4    1        106.47      8   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    4    2        121.68      1      0.5496             9280.5487             1972.3866             7308.1621                0.0000             9280.5487             1972.3866             7308.1621                0.0000                0.0000         0
    4    2        121.68      2      0.5250             2236.9886             1972.3866              264.6020                0.0000             2236.9886             1972.3866              264.6020                0.0000                0.0000         0
    4    2        121.68      3      0.6326             7525.1204             2629.8488             4895.2716                0.0000             7525.1204             2629.8488             4895.2716                0.0000                0.0000         0
    4    2        121.68      4      0.6000             4319.3908             1314.9244             3004.4664                0.0000             4319.3908             1314.9244             3004.4664                0.0000                0.0000         0
    4    2        121.68      5      0.4689             6926.6997             1314.9244                0.0000             5611.7754             6926.6997             1314.9244                0.0000             5611.7754             5611.7754         0
    4    2        121.68      6      0.5625             8122.0919             2629.8488             5492.2431                0.0000             8122.0919             2629.8488             5492.2431                0.0000                0.0000         0
    4    2        121.68      7   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    4    2        121.68      8   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    5    1        136.89      1      0.5942            24237.5402             2465.4832             8629.1913            13142.8656            24237.5402             2465.4832             8629.1913            13142.8656            13142.8656         0
    5    1        136.89      2      0.5600             5236.4564             2465.4832             2770.9731                0.0000             5236.4564             2465.4832             2770.9731                0.0000                0.0000         0
    5    1        136.89      3      0.6850            19604.7013             3287.3110             6574.6219             9742.7684            19604.7013             3287.3110             6574.6219             9742.7684             6000.0000         0
    5    1        136.89      4      0.6400             8910.9417             1643.6555             3130.2256             4137.0605             8910.9417             1643.6555             3130.2256             4137.0605             4137.0605         0
    5    1        136.89      5      0.5106            15448.5191             1643.6555                0.0000            13804.8637            15448.5191             1643.6555                0.0000            13804.8637            13804.8637         0
    5    1        136.89      6      0.6000            21805.5218             3287.3110             9861.9329             8656.2779            21805.5218             3287.3110             9861.9329             8656.2779             8654.5306         0
    5    1        136.89      7   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    5    1        136.89      8   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    5    2        152.10      1      0.5937            24575.3811             2465.4832             8629.1913            13480.7066            24575.3811             2465.4832             8629.1913            13480.7066            13480.7066         0
    5    2        152.10      2      0.5600             5825.5976             2465.4832             3360.1143                0.0000             5825.5976             2465.4832             3360.1143                0.0000                0.0000         0
    5    2        152.10      3      0.6849            19662.7978             3287.3110             6574.6219             9800.8648            19662.7978             3287.3110             6574.6219             9800.8648             6000.0000         0
    5    2        152.10      4      0.6400             9026.8134             1643.6555             3130.2256             4252.9323             9026.8134             1643.6555             3130.2256             4252.9323             4252.9323         0
    5    2        152.10      5      0.5106            15448.5191             1643.6555                0.0000            13804.8637            15448.5191             1643.6555                0.0000            13804.8637            13804.8637         0
    5    2        152.10      6      0.6000            26597.6703             3287.3110             9861.9329            13448.4265            26597.6703             3287.3110             9861.9329            13448.4265            13044.6305         0
    5    2        152.10      7   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    5    2        152.10      8   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    6    1        167.31      1      0.6294            29098.7647             2958.5799            14346.9490            11793.2358            29098.7647             2958.5799            14346.9490            11793.2358            11793.2358         0
    6    1        167.31      2      0.5950             7423.9587             2958.5799              305.5054             4159.8734             7423.9587             2958.5799              305.5054             4159.8734             4159.8734         0
    6    1        167.31      3      0.7255            23316.2931             3944.7732             9890.3769             9481.1431            23316.2931             3944.7732             9890.3769             9481.1431             6000.0000         0
    6    1        167.31      4      0.6800            11317.4212             1972.3866                0.0000             9345.0346            11317.4212             1972.3866                0.0000             9345.0346             8000.0000         0
    6    1        167.31      5      0.5413            18285.3108             1972.3866                0.0000            16312.9242            18285.3108             1972.3866                0.0000            16312.9242            15000.0000         0
    6    1        167.31      6      0.6375            31326.7855             3944.7732            27382.0124                0.0000            31326.7855             3944.7732            27382.0124                0.0000                0.0000         0
    6    1        167.31      7   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    6    1        167.31      8   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    6    2        182.52      1      0.6294            29098.7647             2958.5799            14346.9490            11793.2358            29098.7647             2958.5799            14346.9490            11793.2358            11793.2358         0
    6    2        182.52      2      0.5950             7423.9587             2958.5799              305.5054             4159.8734             7423.9587             2958.5799              305.5054             4159.8734             4159.8734         0
    6    2        182.52      3      0.7253            23455.1614             3944.7732             9890.3769             9620.0113            23455.1614             3944.7732             9890.3769             9620.0113             6000.0000         0
    6    2        182.52      4      0.6800            11404.8379             1972.3866                0.0000             9432.4514            11404.8379             1972.3866                0.0000             9432.4514             8000.0000         0
    6    2        182.52      5      0.5413            18285.3108             1972.3866                0.0000            16312.9242            18285.3108             1972.3866                0.0000            16312.9242            15000.0000         0
    6    2        182.52      6      0.6375            31027.1531             3944.7732            27082.3799                0.0000            31027.1531             3944.7732            27082.3799                0.0000                0.0000         0
    6    2        182.52      7   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    6    2        182.52      8   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    7    1        197.73      1      0.6300            16722.6127             2958.5799            12350.4091             1413.6237            16722.6127             2958.5799            12350.4091             1413.6237             1413.6237         0
    7    1        197.73      2      0.6300             7172.3590             2958.5799              252.5920             3961.1871             7172.3590             2958.5799              252.5920             3961.1871             3961.1871         0
    7    1        197.73      3      0.7200            10966.7482             3944.7732             7021.9751                0.0000            10966.7482             3944.7732             7021.9751                0.0000                0.0000         0
    7    1        197.73      4      0.7200            11254.6645             1972.3866             2685.0848             6597.1931            11254.6645             1972.3866             2685.0848             6597.1931             6597.1931         0
    7    1        197.73      5      0.5400            11157.0030             1972.3866                0.0000             9184.6164            11157.0030             1972.3866                0.0000             9184.6164             9184.6164         0
    7    1        197.73      6      0.6750            30831.4307             3944.7732            26886.6575                0.0000            30831.4307             3944.7732            26886.6575                0.0000                0.0000         0
    7    1        197.73      7   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    7    1        197.73      8   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    7    2        212.94      1      0.6300            16722.6127             2958.5799            12350.4091             1413.6237            16722.6127             2958.5799            12350.4091             1413.6237             1413.6237         0
    7    2        212.94      2      0.6300             7172.3590             2958.5799              252.5920             3961.1871             7172.3590             2958.5799              252.5920             3961.1871             3961.1871         0
    7    2        212.94      3      0.7200            11190.7671             3944.7732             7245.9939                0.0000            11190.7671             3944.7732             7245.9939                0.0000                0.0000         0
    7    2        212.94      4      0.7200            11401.3598             1972.3866             2462.2043             6966.7689            11401.3598             1972.3866             2462.2043             6966.7689             6966.7689         0
    7    2        212.94      5      0.5400            11157.0030             1972.3866                0.0000             9184.6164            11157.0030             1972.3866                0.0000             9184.6164             9184.6164         0
    7    2        212.94      6      0.6750            31106.3224             3944.7732            27161.5493                0.0000            31106.3224             3944.7732            27161.5493                0.0000                0.0000         0
    7    2        212.94      7   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    7    2        212.94      8   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    8    1        228.15      1      0.6300            14898.3222             2465.4832            12009.4928              423.3462            14898.3222             2465.4832            12009.4928              423.3462              423.3462         0
    8    1        228.15      2      0.6300             6389.0149             2465.4832              207.3726             3716.1591             6389.0149             2465.4832              207.3726             3716.1591             3716.1591         0
    8    1        228.15      3      0.7200            10143.8358             3287.3110             6856.5248                0.0000            10143.8358             3287.3110             6856.5248                0.0000                0.0000         0
    8    1        228.15      4      0.7200            10237.4643             1643.6555             2849.6957             5744.1131            10237.4643             1643.6555             2849.6957             5744.1131             5744.1131         0
    8    1        228.15      5      0.5400             9938.4676             1643.6555                0.0000             8294.8121             9938.4676             1643.6555                0.0000             8294.8121             8294.8121         0
    8    1        228.15      6      0.6750            26802.0978             3287.3110            23514.7868                0.0000            26802.0978             3287.3110            23514.7868                0.0000                0.0000         0
    8    1        228.15      7   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    8    1        228.15      8   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    8    2        243.36      1      0.6300            14898.3222             2465.4832            12009.4928              423.3462            14898.3222             2465.4832            12009.4928              423.3462              423.3462         0
    8    2        243.36      2      0.6300             6389.0149             2465.4832              207.3726             3716.1591             6389.0149             2465.4832              207.3726             3716.1591             3716.1591         0
    8    2        243.36      3      0.7200            10300.3033             3287.3110             7012.9923                0.0000            10300.3033             3287.3110             7012.9923                0.0000                0.0000         0
    8    2        243.36      4      0.7200            10352.1302             1643.6555             2694.1944             6014.2803            10352.1302             1643.6555             2694.1944             6014.2803             6014.2803         0
    8    2        243.36      5      0.5400             9938.4676             1643.6555                0.0000             8294.8121             9938.4676             1643.6555                0.0000             8294.8121             8294.8121         0
    8    2        243.36      6      0.6750            27153.0671             3287.3110            23865.7561                0.0000            27153.0671             3287.3110            23865.7561                0.0000                0.0000         0
    8    2        243.36      7   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    8    2        243.36      8   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    9    1        258.57      1      0.6083            15180.6961             1972.3866            12183.1965             1025.1130            15180.6961             1972.3866            12183.1965             1025.1130             1025.1130         0
    9    1        258.57      2      0.5917             8596.3451             1972.3866              123.7965             6500.1620             8596.3451             1972.3866              123.7965             6500.1620             6000.0000         0
    9    1        258.57      3      0.7200             8109.7315             2629.8488             5479.8828                0.0000             8109.7315             2629.8488             5479.8828                0.0000                0.0000         0
    9    1        258.57      4      0.6848            13160.2721             1314.9244             4220.0235             7625.3242            13160.2721             1314.9244             4220.0235             7625.3242             7625.3242         0
    9    1        258.57      5      0.5152            10610.9942             1314.9244                0.0000             9296.0698            10610.9942             1314.9244                0.0000             9296.0698             9296.0698         0
    9    1        258.57      6      0.6750            18354.8406             2629.8488            14792.8994              932.0925            18354.8406             2629.8488            14792.8994              932.0925              932.0925         0
    9    1        258.57      7   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    9    1        258.57      8   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    9    2        273.78      1      0.6083            15180.6961             1972.3866            12183.1965             1025.1130            15180.6961             1972.3866            12183.1965             1025.1130             1025.1130         0
    9    2        273.78      2      0.5917             8596.3451             1972.3866              123.7965             6500.1620             8596.3451             1972.3866              123.7965             6500.1620             6000.0000         0
    9    2        273.78      3      0.7200             8215.5583             2629.8488             5585.7095                0.0000             8215.5583             2629.8488             5585.7095                0.0000                0.0000         0
    9    2        273.78      4      0.6850            13239.8193             1314.9244             4114.6412             7810.2537            13239.8193             1314.9244             4114.6412             7810.2537             7810.2537         0
    9    2        273.78      5      0.5152            10610.9942             1314.9244                0.0000             9296.0698            10610.9942             1314.9244                0.0000             9296.0698             9296.0698         0
    9    2        273.78      6      0.6750            19129.9603             2629.8488            14792.8994             1707.2121            19129.9603             2629.8488            14792.8994             1707.2121             1665.4288         0
    9    2        273.78      7   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
    9    2        273.78      8   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   10    1        288.99      1      0.5234            14517.2705             1479.2899            12835.9963              201.9842            14517.2705             1479.2899            12835.9963              201.9842              201.9842         0
   10    1        288.99      2      0.5069            10022.6322             1479.2899              127.2422             8416.1001            10022.6322             1479.2899              127.2422             8416.1001             6000.0000         0
   10    1        288.99      3      0.6400             5596.3170             1972.3866             3623.9304                0.0000             5596.3170             1972.3866             3623.9304                0.0000                0.0000         0
   10    1        288.99      4      0.5901            14265.9872              986.1933             6068.5233             7211.2707            14265.9872              986.1933             6068.5233             7211.2707             7211.2707         0
   10    1        288.99      5      0.4397            10566.1474              986.1933                0.0000             9579.9541            10566.1474              986.1933                0.0000             9579.9541             9579.9541         0
   10    1        288.99      6      0.6000            10377.9512             1972.3866             8405.5646                0.0000            10377.9512             1972.3866             8405.5646                0.0000                0.0000         0
   10    1        288.99      7   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   10    1        288.99      8   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   10    2        304.20      1      0.5234            14517.2705             1479.2899            12835.9963              201.9842            14517.2705             1479.2899            12835.9963              201.9842              201.9842         0
   10    2        304.20      2      0.5069            10022.6322             1479.2899              127.2422             8416.1001            10022.6322             1479.2899              127.2422             8416.1001             6000.0000         0
   10    2        304.20      3      0.6400             5647.7614             1972.3866             3675.3748                0.0000             5647.7614             1972.3866             3675.3748                0.0000                0.0000         0
   10    2        304.20      4      0.5902            14271.4478              986.1933             6017.2446             7268.0100            14271.4478              986.1933             6017.2446             7268.0100             7268.0100         0
   10    2        304.20      5      0.4397            10566.1474              986.1933                0.0000             9579.9541            10566.1474              986.1933                0.0000             9579.9541             9579.9541         0
   10    2        304.20      6      0.6000            10509.4327             1972.3866             8537.0461                0.0000            10509.4327             1972.3866             8537.0461                0.0000                0.0000         0
   10    2        304.20      7   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   10    2        304.20      8   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   11    1        319.41      1      0.4200              661.0804              661.0804                0.0000                0.0000              661.0804              661.0804                0.0000                0.0000                0.0000         0
   11    1        319.41      2      0.4200              661.0910              661.0910                0.0000                0.0000              661.0910              661.0910                0.0000                0.0000                0.0000         0
   11    1        319.41      3   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   11    1        319.41      4      0.4900              644.1527              644.1527                0.0000                0.0000              644.1527              644.1527                0.0000                0.0000                0.0000         0
   11    1        319.41      5      0.3500              528.8745              528.8745                0.0000                0.0000              528.8745              528.8745                0.0000                0.0000                0.0000         0
   11    1        319.41      6   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   11    1        319.41      7   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   11    1        319.41      8   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   11    2        334.62      1      0.4200              661.0804              661.0804                0.0000                0.0000              661.0804              661.0804                0.0000                0.0000                0.0000         0
   11    2        334.62      2      0.4200              661.0910              661.0910                0.0000                0.0000              661.0910              661.0910                0.0000                0.0000                0.0000         0
   11    2        334.62      3   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   11    2        334.62      4      0.4900              589.9817              589.9817                0.0000                0.0000              589.9817              589.9817                0.0000                0.0000                0.0000         0
   11    2        334.62      5      0.3500              528.8745              528.8745                0.0000                0.0000              528.8745              528.8745                0.0000                0.0000                0.0000         0
   11    2        334.62      6   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   11    2        334.62      7   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   11    2        334.62      8   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   12    1        349.83      1   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   12    1        349.83      2   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   12    1        349.83      3   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   12    1        349.83      4   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   12    1        349.83      5   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   12    1        349.83      6   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   12    1        349.83      7   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   12    1        349.83      8   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   12    2        365.04      1   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   12    2        365.04      2   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   12    2        365.04      3   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   12    2        365.04      4   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   12    2        365.04      5   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   12    2        365.04      6   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   12    2        365.04      7   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   12    2        365.04      8   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   13    1        380.25      1   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   13    1        380.25      2   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   13    1        380.25      3   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   13    1        380.25      4   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   13    1        380.25      5   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   13    1        380.25      6   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   13    1        380.25      7   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   13    1        380.25      8   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   13    2        395.46      1   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   13    2        395.46      2   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   13    2        395.46      3   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   13    2        395.46      4   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   13    2        395.46      5   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   13    2        395.46      6   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
   13    2        395.46      7   -999.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000                0.0000         0
